location,continent,population,Total_cases,Total_deaths,Total_vaccinations,Infection_ratio,Death_ratio,Vaccination_ratio
"Sao Tome and Principe",Africa,219161,2302,35,9724,1.0504,1.5204,4.4369
Samoa,Oceania,198410,3,0,5880,0.0015,0.0000,2.9636
"Saint Lucia","North America",183629,4552,74,24266,2.4789,1.6257,13.2147
Curacao,"North America",164100,0,0,95693,0.0000,NULL,58.3138
"Micronesia (country)",Oceania,115021,1,0,0,0.0009,0.0000,0.0000
Grenada,"North America",112519,160,1,12764,0.1422,0.6250,11.3439
"Saint Vincent and the Grenadines","North America",110947,1864,11,13852,1.6801,0.5901,12.4852
Aruba,"North America",106766,0,0,76865,0.0000,NULL,71.9939
Tonga,Oceania,105697,0,0,5367,0.0000,NULL,5.0777
Jersey,Europe,101073,0,0,82738,0.0000,NULL,81.8596
Seychelles,Africa,98340,5873,28,126840,5.9721,0.4768,128.9811
"Antigua and Barbuda","North America",97928,1232,32,29754,1.2581,2.5974,30.3835
"Isle of Man",Europe,85032,0,0,72617,0.0000,NULL,85.3996
Andorra,Europe,77265,13232,125,26414,17.1255,0.9447,34.1862
Dominica,"North America",71991,174,0,23055,0.2417,0.0000,32.0248
Guernsey,Europe,67052,0,0,46587,0.0000,NULL,69.4789
"Cayman Islands","North America",65720,0,0,65694,0.0000,NULL,99.9604
Bermuda,"North America",62273,0,0,55904,0.0000,NULL,89.7725
"Marshall Islands",Oceania,59194,4,0,0,0.0068,0.0000,0.0000
Greenland,"North America",56772,0,0,14139,0.0000,NULL,24.9049
"Saint Kitts and Nevis","North America",53192,44,0,11848,0.0827,0.0000,22.2740
"Faeroe Islands",Europe,48865,0,0,20238,0.0000,NULL,41.4161
Monaco,Europe,39244,2454,32,24390,6.2532,1.3040,62.1496
"Turks and Caicos Islands","North America",38718,0,0,25039,0.0000,NULL,64.6702
Liechtenstein,Europe,38137,2926,57,12219,7.6723,1.9481,32.0398
"San Marino",Europe,33938,5066,90,28970,14.9272,1.7765,85.3615
Gibraltar,Europe,33691,0,0,70334,0.0000,NULL,208.7620
Anguilla,"North America",15002,0,0,6898,0.0000,NULL,45.9805
Nauru,Oceania,10834,0,0,700,0.0000,NULL,6.4611
"Saint Helena",Africa,6071,0,0,4572,0.0000,NULL,75.3088
Montserrat,"North America",4999,0,0,1909,0.0000,NULL,38.1876
"Falkland Islands","South America",3483,0,0,4407,0.0000,NULL,126.5289
Vatican,Europe,809,27,0,0,3.3375,0.0000,0.0000
"Northern Cyprus",Asia,0,0,0,109490,NULL,NULL,NULL
International,,0,721,15,0,NULL,2.0804,NULL
